% selection
@RELATION myRel

@ATTRIBUTE IMPACT_TYPE NUMERIC
@ATTRIBUTE ENVIRONMENT NUMERIC
@ATTRIBUTE LIGHT NUMERIC
@ATTRIBUTE ROAD_SURFACE_CONDITION NUMERIC
@ATTRIBUTE NO_OF_PEDESTRIANS NUMERIC
@ATTRIBUTE X NUMERIC
@ATTRIBUTE Y NUMERIC
@ATTRIBUTE class REAL

@DATA
3.0,1.0,1.0,1.0,0.0,0.6980795671199482,0.7520783518588132,0.0
7.0,3.0,1.0,3.0,0.0,0.5045421884359147,0.6011776159428592,0.0
7.0,3.0,7.0,2.0,0.0,0.207228573171272,0.6242454343861112,0.0
3.0,1.0,3.0,2.0,0.0,0.6484567003200779,0.8033380586854406,0.0
3.0,1.0,1.0,2.0,0.0,0.7354208693721231,0.7166501872675042,0.0
3.0,1.0,7.0,1.0,0.0,0.4586931208182419,0.6476403382506817,0.0
0.0,3.0,1.0,6.0,0.0,0.4827039385308609,0.6613333398170056,0.0
7.0,1.0,7.0,1.0,0.0,0.7769687210067531,0.7043695671641217,0.0
3.0,1.0,1.0,1.0,0.0,0.5693992396651213,0.7585394306896658,0.0
7.0,1.0,1.0,1.0,0.0,0.2905426642408635,0.5809219764258984,0.0
3.0,1.0,7.0,1.0,0.0,0.6193724056479022,0.7955510928538416,0.0
7.0,1.0,3.0,1.0,0.0,0.6381363063240366,0.8003902978414317,0.0
7.0,3.0,7.0,6.0,0.0,0.6459909203930909,0.8029566287852674,0.0
7.0,3.0,7.0,6.0,0.0,0.6466294437251641,0.8026968825473517,0.0
4.0,1.0,7.0,2.0,0.0,0.6423073537954087,0.8023699778362356,0.0
7.0,4.0,1.0,6.0,0.0,0.6881996286481753,0.7896838605227003,0.0
4.0,7.0,7.0,2.0,0.0,0.5818026181423449,0.7694239168178569,0.0
3.0,1.0,7.0,1.0,0.0,0.5549052404780639,0.7282339067853201,0.0
3.0,1.0,1.0,1.0,0.0,0.5670997365322421,0.7537982691874845,0.0
3.0,1.0,1.0,1.0,0.0,0.5544528910213673,0.7273936866008057,0.0
7.0,1.0,5.0,1.0,0.0,0.4241443516448742,0.6172907046348115,0.0
7.0,4.0,7.0,6.0,0.0,0.6099825689083263,0.33393980764124365,0.0
7.0,4.0,1.0,6.0,0.0,0.5237760138076357,0.4885001875032344,0.0
3.0,3.0,5.0,2.0,0.0,0.5663405286223959,0.7513617045793097,0.0
7.0,1.0,1.0,1.0,0.0,0.5039222886861356,0.5401926130640788,0.0
0.0,1.0,7.0,1.0,0.0,0.6237111821072556,0.798199794782235,0.0
0.0,3.0,7.0,4.0,0.0,0.34333687824301506,0.5150319571984879,0.0
5.0,3.0,7.0,4.0,0.0,0.4585681654324016,0.6467336331490543,0.0
3.0,1.0,1.0,1.0,0.0,0.5664036579560445,0.7520443783454311,0.0
4.0,3.0,7.0,3.0,0.0,0.563791123056931,0.7453989751334547,0.0
7.0,1.0,7.0,1.0,0.0,0.6507365553532463,0.19266226652717933,0.0
7.0,1.0,1.0,1.0,0.0,0.6219803623837228,0.2849200856060321,0.0
4.0,3.0,1.0,3.0,0.0,0.5768109584288954,0.7663091633415888,0.0
7.0,1.0,1.0,1.0,0.0,0.3019785420783601,0.5685943388199775,0.0
3.0,1.0,7.0,1.0,0.0,0.5792367917070314,0.7677127064340681,0.0
7.0,1.0,7.0,4.0,0.0,0.3778099820399712,0.5716282984186876,0.0
3.0,1.0,7.0,2.0,0.0,0.5946669663181554,0.7747695374356596,0.0
7.0,3.0,1.0,4.0,0.0,0.0246562505807586,0.7947317200525391,0.0
3.0,1.0,5.0,1.0,0.0,0.5976794871122859,0.7776552489760036,0.0
3.0,1.0,7.0,1.0,0.0,0.5118162382674889,0.671624620145181,0.0
7.0,1.0,7.0,1.0,0.0,0.5737446242618107,0.763588785185533,0.0
3.0,1.0,1.0,1.0,0.0,0.6657051955899052,0.8077283467356438,0.0
3.0,2.0,1.0,2.0,0.0,0.5548758725671874,0.7281775087817408,0.0
3.0,1.0,7.0,1.0,0.0,0.6052933348232514,0.7842082271462516,0.0
3.0,1.0,5.0,1.0,0.0,0.6007713782237154,0.7796139501619876,0.0
4.0,1.0,1.0,1.0,0.0,0.6961348329250354,0.7629374728493303,0.0
3.0,1.0,1.0,1.0,0.0,0.6475946392007055,0.8032033803185783,0.0
3.0,1.0,1.0,1.0,0.0,0.5595593407635473,0.7371500976598924,0.0
3.0,1.0,7.0,1.0,0.0,0.5885434304845871,0.7725281398192152,0.0
3.0,1.0,1.0,1.0,0.0,0.4762943836431743,0.6581755116057195,0.0
3.0,1.0,7.0,1.0,0.0,0.5670357589934758,0.7536295515944715,0.0
7.0,3.0,1.0,4.0,0.0,0.41265733251880293,0.6073582325782496,0.0
3.0,1.0,1.0,1.0,0.0,0.6937835309063551,0.7731264055042146,0.0
3.0,2.0,1.0,2.0,0.0,0.5463114239886702,0.7101103845120207,0.0
3.0,1.0,1.0,1.0,0.0,0.5714100933549799,0.7605625304116757,0.0
3.0,1.0,7.0,2.0,0.0,0.5977144231561908,0.7776804498316636,0.0
2.0,1.0,1.0,1.0,0.0,0.5721434655564392,0.7795091054026528,0.0
